Model: GPT2-XL
BitMoD = [17.72, 5821851329]
OliVe_a8w8 = [17.4838, 6806169036]
OliVe_a4w4 = [19.11, 2796608476]
FlexPosit(4.1b) = [16.79, 2614924188]
FlexPosit(4.2b) = [16.33, 2737767547]
FlexPosit(4.3b) = [16.17, 2862766682]
FlexPosit(4.4b) = [16.07, 2993278970]
FlexPosit(4.5b) = [16.01, 3121775160]
FlexPosit(4.6b) = [15.99, 3255888960]


Model: Phi-2B
BitMoD = [10.48, 5808301272011]
OliVe_a8w8 = [11.7323, 6726199679961]
OliVe_a4w4 = [15.3756, 2661862586711]
FlexPosit(4.4b) = [10.46, 2825251049331]
FlexPosit(4.5b) = [10.33, 2956650481990]
FlexPosit(4.6b) = [10.2, 3083543599397]
FlexPosit(4.7b) = [10.1, 3220752550897]
FlexPosit(4.8b) = [10, 3353166973361]
FlexPosit(4.9b) = [9.93, 3490869131893]


