accelerator,model,pe_x,pe_y,total_cycle,pe_array_area_mm2,weight_buffer_area_mm2,input_buffer_area_mm2,total_area_mm2,total_macs,dram_energy_mJ,onchip_energy_mJ,total_energy_mJ,edp,log_file
BitMod (Bit-Serial),gpt2-large,30,16,1424247.0,0.43728,0.484009,0.524382,0.43728,,417.58,504.77,922.35,1313658096.38,test_bitmod_x30_y16.log
BitMod (Bit-Serial),gpt2-xl,30,16,1847650.0,0.43728,0.484009,0.524382,0.43728,,539.8,640.13,1179.94,2180107740.44,test_bitmod_x30_y16.log
BitMod (Bit-Serial),microsoft/phi-2,30,16,55290440.0,0.43728,0.484009,0.524382,0.43728,,16322.37,19974.58,36296.96,2006874832502.16,test_bitmod_x30_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,30,16,55241069.0,0.43728,0.484009,0.524382,0.43728,,16307.85,19956.76,36264.61,2003295719795.18,test_bitmod_x30_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,30,16,137830050.0,0.43728,0.484009,0.524382,0.43728,,40756.81,49631.85,90388.66,12458272873772.72,test_bitmod_x30_y16.log
BitMod (Bit-Serial),gpt2-large,98,16,1424247.0,1.428448,0.493765,0.524382,1.428448,,417.58,529.05,946.63,1348237715.03,test_bitmod_x98_y16.log
BitMod (Bit-Serial),gpt2-xl,98,16,1847650.0,1.428448,0.493765,0.524382,1.428448,,539.8,688.67,1228.47,2269787835.29,test_bitmod_x98_y16.log
BitMod (Bit-Serial),microsoft/phi-2,98,16,55290440.0,1.428448,0.493765,0.524382,1.428448,,16322.37,19431.41,35753.79,1976842709639.46,test_bitmod_x98_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,98,16,55241069.0,1.428448,0.493765,0.524382,1.428448,,16307.85,19413.54,35721.39,1973287738444.11,test_bitmod_x98_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,98,16,137830050.0,1.428448,0.493765,0.524382,1.428448,,40756.81,47571.13,88327.94,12174244441060.73,test_bitmod_x98_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,58,16,1480797.0,0.257984,0.507859,0.524382,0.257984,,427.64,313.59,741.24,1097619985.46,test_flexposit_x58_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,58,16,1896395.0,0.257984,0.507859,0.524382,0.257984,,551.98,402.4,954.38,1809884337.73,test_flexposit_x58_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,58,16,60744782.0,0.257984,0.507859,0.524382,0.257984,,17906.17,12843.53,30749.7,1867883781807.07,test_flexposit_x58_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,58,16,66226156.0,0.257984,0.507859,0.524382,0.257984,,19549.9,13916.85,33466.76,2216374544692.21,test_flexposit_x58_y16.log
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,58,16,172147670.0,0.257984,0.507859,0.524382,0.257984,,50899.24,35733.55,86632.79,14913633356142.24,test_flexposit_x58_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,18,16,3685632.0,0.065664,0.46969,0.467155,0.065664,,800.72,800.68,1601.39,5902143728.88,test_olive_x18_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,18,16,4646976.0,0.065664,0.46969,0.467155,0.065664,,1009.24,1009.68,2018.92,9381867644.58,test_olive_x18_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,18,16,147792384.0,0.065664,0.46969,0.467155,0.065664,,32584.07,32119.48,64703.54,9562690607064.72,test_olive_x18_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,18,16,147659264.0,0.065664,0.46969,0.467155,0.065664,,32555.05,32090.55,64645.61,9545522830097.1,test_olive_x18_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,18,16,367845376.0,0.065664,0.46969,0.467155,0.065664,,81291.89,79951.81,161243.7,59312748616971.48,test_olive_x18_y16.log
BitMod (Bit-Serial),gpt2-large,50,16,1424247.0,0.7288,0.524255,0.524382,0.7288,,417.58,504.46,922.04,1313215140.76,test_bitmod_x50_y16.log
BitMod (Bit-Serial),gpt2-xl,50,16,1847650.0,0.7288,0.524255,0.524382,0.7288,,539.8,645.08,1184.88,2189243150.94,test_bitmod_x50_y16.log
BitMod (Bit-Serial),microsoft/phi-2,50,16,55290440.0,0.7288,0.524255,0.524382,0.7288,,16322.37,19492.19,35814.56,1980202946307.26,test_bitmod_x50_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,50,16,55241069.0,0.7288,0.524255,0.524382,0.7288,,16307.85,19475.43,35783.28,1976706779203.61,test_bitmod_x50_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,50,16,137830050.0,0.7288,0.524255,0.524382,0.7288,,40756.81,48208.87,88965.68,12262143704668.72,test_bitmod_x50_y16.log
BitMod (Bit-Serial),gpt2-large,26,16,1424247.0,0.378976,0.48107,0.524382,0.378976,,417.58,508.42,926.0,1318857673.08,test_bitmod_x26_y16.log
BitMod (Bit-Serial),gpt2-xl,26,16,1847650.0,0.378976,0.48107,0.524382,0.378976,,539.8,643.64,1183.44,2186583368.54,test_bitmod_x26_y16.log
BitMod (Bit-Serial),microsoft/phi-2,26,16,55290440.0,0.378976,0.48107,0.524382,0.378976,,16322.37,20204.13,36526.5,2019566464046.29,test_bitmod_x26_y16.log
